G/L Acct/BP Code,Name,Local Currency - Jordanian Dinar - OB,Local Currency - Jordanian Dinar - Debit,Local Currency - Jordanian Dinar - Credit,Local Currency - Jordanian Dinar - Balance
Assets,,,,,
,,,,,
210000387,شركة محمد حمد صابر الجعيدي و شركاه,2103.75,10793.396,11891.368,1005.778
210000394,محلات ابو هشام للمواد التموينية,,2105,2105,
210000437,أسواق الاديب - الاغوار الشمالية,,725.04,510,215.04
210000461,مؤسسة عبد الحميد نواف عوده للمواد التموينية,,4594.683,4590,4.683
210000478,بقالة حمزة بني صخر,,9178.205,8697.841,480.364
210000491,محلات لبابنة للمواد الغذائية و التموينية,1.73,1304.758,1289.727,16.761
210000499,عبد الرحمن شاهين لتجارة المواد الغذائية بالجملة,,5438.12,7211,-1772.88
210000508,مؤسسة احمد ربيع لتجارة المواد التموينية,,4604.482,4698.037,-93.555
210000532,توزيعات جنزير - شارع فلسطين,,2232.18,1902.9,329.28
210000588,بقالة سيف الخشان,,2870.176,2869.696,0.48
210000599,بقالة زكريا البطاينة,,600.002,,600.002
210000639,شركة ميلاس للصناعات الغذائية,,8000,,8000
210000715,شركة أوريجانو لتجارة المواد الغذائية,,15411.5,,15411.5
220000001,مؤسسة احمد حسن ربيع لتجارة المواد الغذائية,,1189.9,823.739,366.161
220000002,مؤسسة أحمد مسمح للمواد الغذائية - جرش,,1140,7.6,1132.4
220000004,مؤسسة احمد السعودي للتجارة,223.25,,223.25,
220000005,محلات ملوح مادبا,,3526.405,3220.408,305.997
220000007,موفق عريمط - المفرق الزعتري,99,2010,2109,
220000009,مؤسسة ومستودع محمود العمري - مادبا,,4729.455,3879.311,850.144
220000010,مؤسسة يعقوب خشرم للمواد التموينية,,500,500,
220000011,مؤسسة يعمون لتجارة المواد التموينية,,22799.97,22799.97,
220000017,شركة أبناء الشرقطلي - الرمم,,538.92,,538.92
220000019,شركة جبل الشيخ لتجارة المواد التموينية -أربد,,2182.483,1017.1,1165.383
220000021,الدربيات للتوزيع,,3184.973,3184.973,
220000022,المال و البنون للمواد التموينية,,237.157,237.157,
220000025,محلات حتر للمواد التموينية,,1062.282,1062.282,
220000026,محلات حلمي للمواد الغذائية,,235.125,235.125,
220000027,محلات فادي درابكه للمواد التموينية,1237.6,,1236.66,0.94
220000029,شركة عبهر الدولية للتموين,,700.08,700.08,
220000030,شركة محمد موسى عمرو و شركاه,,58882.718,58883.152,-0.434
220000032,شركة الشرش لتجارة المواد الغذائية,,3010.636,3010.707,-0.071
220000033,ماجد حسني يوسف عرار,,316.547,221.375,95.172
,,__________________,__________________,__________________,__________________
Total Whole sales,,4135.33,231015.603,202373.942,32776.991
,,,,,
Retail Outlets,,,,,
,,,,,
110000288,يجب تحويل الرصيد,,200,200,
210000001,سوبر ماركت أحمد القرالة - طيبة الكرك,,2463.678,2042.917,420.761
210000002,سوبر ماركت باب المدينة / وادي موسى,599.513,1092.422,1550,141.935
210000003,سوبر ماركت المصطفى - الغور,,29.337,29.35,-0.013
210000004,سوبر ماركت المطارنة,28.754,118.15,146.75,0.154
210000005,سوبر ماركت زيد الرشايدة - حسينية معان,2359.875,,2360,-0.125
210000007,سوبر ماركت توفيق البستنجي - أدر,371.862,224.015,150,445.877
210000008,سوبر ماركت خشم العقاب / الربة,594.458,3622.753,4116.989,100.222
210000010,سوبر ماركت الادهم -غور  الحديثة,76.267,228.914,76.6,228.581
210000011,سوبر ماركت الامين - العدنانية,,383.502,378.55,4.952
210000012,سوبر ماركت أبو روز - غرندل,76.375,176.308,100,152.683
210000013,سوبر ماركت الابداع - المنشية,198.275,158.45,122,234.725
210000015,سوبر ماركت البركة - الصافي,14.741,276.35,290.65,0.441
210000016,سوبرماركت الايمان - مؤتة,141.75,,,141.75
210000017,سوبر ماركت الباشا - الكرك,,260.546,260,0.546
210000018,ماهر القرالة - سيد,4.329,269.071,273.4,
210000019,مجمدات فراس فتحي - الحسا,-193.398,1867.691,1868.749,-194.456
210000020,فيصل مول - معان,392.571,570.201,189.675,773.097
210000021,ماهر القرالة - المنشية - عبدالقادر 2,,135.432,135.432,
210000022,محلات بشير السوداني - الصافي,,201.946,201.5,0.446
210000023,محلات بكر التجارية - المزار,,165.754,167.6,-1.846
210000026,عطارة الياسين - المزار,229.51,717.453,988.66,-41.697
210000027,سوق عامر الشعبي - مؤتة,,35,35,
210000028,شركة احمد عبد الحميد الطراونة وشركاه,,3160.764,3160.775,-0.011
210000029,سوبر ماركت عز و جود - المنشية,188.033,,,188.033
210000030,سوبر ماركت علاء البوشي - الثنية,,347.988,347.478,0.51
210000031,صافينا مول / الصافي / عرار القراله,232.925,714.575,947.5,
210000032,عبد الحفيظ السوداني - الغور الصافي,49.538,179.856,229.5,-0.106
210000034,شركة بيت حانون التجارية - المنشية,3698.999,13447.297,13981.842,3164.454
210000035,مؤسسة علي الناجي,,2377.647,2340.291,37.356
210000036,مؤسسة عماد العمري التجارية,,6674.33,6541.439,132.891
210000037,مؤسسة حسن ابو حطب للمواد التموينية,,2108.491,2108.21,0.281
210000039,مؤسسة نجمة أبو نصير الاستهلاكية,,4274.624,4125.698,148.926
210000040,سوبر ماركت نبع وادي السير لتجارة المواد الغذائية,697.192,456.119,1153.291,0.02
